Företagsnamn	Typ	Finansiär	Belopp	Mottaget datum	Anteckning
Intrest (Linkapp AB)	De minimis	Sprint X TVV De minimis	54149	2023-12-30	Deltagande i aktiviteter samt tid intern personal Sprint X 2.0 juli-dec 2023 (Slush, demoday - Kapital, business insight - Team)
CADcog AB	De minimis	Sprint X TVV De minimis	3466	2023-12-30	Deltagande i aktiviteter samt intern tid projektledare Sprint X 2.0 juli-dec 2023
Objectide AB	Excellensmedel	Vinnova Excellensmedel	1990	2023-12-30	slutfaktura digital strategi
Head on nails AB	Excellensmedel	Vinnova Excellensmedel	40795	2023-12-30	Digital strategi wilson
ProTime Sport AB	De minimis	Sprint X TVV De minimis	54579	2023-12-30	Deltagande i aktiviteter samt tid intern personal Sprint X 2.0 juli-dec 2023 (Slush - internationalisering, business insight - Kapital  )
Dealpotential AB	Ägarkapital	Riskkapital	3410000	2023-12-30
Invite To Do AB	De minimis	Sprint X TVV De minimis	10353	2023-12-30	Deltagande i aktiviteter samt tid intern personal Sprint X 2.0
Actsport AB	De minimis	Sprint X TVV De minimis	18509	2023-12-30	Deltagande i aktiviteter samt tid personal Sprint X 2.0 juli-dec 2023
Affärskompetens Sverige AB	De minimis	Sprint X TVV De minimis	21079	2023-12-30	Deltagande i aktiviteter samt tid intern personal Sprint X 2.0 juli-dec 2023
Hydrogen Lift Sweden AB	De minimis	Sprint X TVV De minimis	21079	2023-12-30	Deltagande i aktiviteter samt tid intern personal Sprint X 2.0 juli-dec 2023
PepperVault AB	De minimis	Sprint X TVV De minimis	23394	2023-12-30	Deltagande i aktiviteter samt tid intern personal Sprint X 2.0 juli-dec 2023 (Business insight Team, Slush - internationalisering)
Enava AB	De minimis	Sprint X TVV De minimis	56745	2023-12-30	Deltagande i aktiviteter samt tid intern personal Sprint X 2.0 juli-dec 2023 (Rekryteringstjänst - Team, Business insight - Team, Resekostnader Go West - Kapital, Demoday - Kapital)
T & S Engineering Intelligence AB	De minimis	Sprint X TVV De minimis	31801	2023-12-30	Deltagande i aktiviteter samt tid intern personal Sprint X 2.0 juli-dec 2023 (slush - internationalisering, Demoday - Kapital, )
Solask Energi AB	De minimis	Sprint X TVV De minimis	36017	2023-12-30	Deltagande i aktiviteter samt tid intern personal Sprint X 2.0 juli-dec 2023
Climate Champ	De minimis	Sprint X TVV De minimis	12672	2023-12-30	Deltagande i aktiviteter samt tid intern personal Sprint X 2.0 okt- dec 2023
Best 2 Clean Sweden AB	De minimis	Sprint X TVV De minimis	36017	2023-12-30	Deltagande i aktiviteter samt tid intern personal Sprint X 2.0 (Rekryteringstjänst - Team, business insight Team)
Dealpotential AB	De minimis	Sprint X TVV De minimis	5454	2023-12-30	Deltagande i aktiviteter samt tid intern personal Sprint X 2.0 (Go west resa - Kapital )
Climate Champ	Excellensmedel	Vinnova Excellensmedel	15640	2023-12-29	Barzey law affärsjuridik - delfaktura
Wellgo Health AB	Excellensmedel	Vinnova Excellensmedel	35300	2023-12-29	Affärsjuridik Barzey law delfaktura
Intrest (Linkapp AB)	Excellensmedel	Vinnova Excellensmedel	35000	2023-12-18	Beviljat 50 000kr Lindahls affärsjuridik - fakturerat 35 000kr 20231219
Wellgo Health AB	Excellensmedel	Vinnova Excellensmedel	100000	2023-12-18	Rouse - IP strategi fas ABC
ProTime Sport AB	Excellensmedel	Vinnova Excellensmedel	2950	2023-12-18	Affärsjuridik Lindahls
Konstraktor i Gävle AB	Excellensmedel	Vinnova Excellensmedel	15000	2023-12-18	Rouse AB - Nyhetsgranskning
Head on nails AB	Excellensmedel	Vinnova Excellensmedel	36000	2023-12-17	kundresan Expedition Mondial.
Dealpotential AB	Excellensmedel	Vinnova Excellensmedel	112616	2023-12-14	Resa USA kaptial 2 tillfällen
PepperVault AB	Bidrag	Annan (ange vilken)	60000	2023-12-06	Bo Malmgrens Minnes fond via Mellansvenska Handelskammaren
PepperVault AB	Bidrag	Annan (ange vilken)	200000	2023-12-06	Ahlgrens Donationsfond
Invite To Do AB	Excellensmedel	Vinnova Excellensmedel	40000	2023-11-30	Beviljad 80 000kr fas B o C IP check Eris law. LEverantör fakturerat i okt men ej levererat! Fakturan hölls fram till dec för ett godkännande av leverans först. Godkänt 40 000kr
Wellgo Health AB	Excellensmedel	Vinnova Excellensmedel	17850	2023-11-29	Beviljad 50 000kr Barzey delfakturerat 17850kr 231130
Head on nails AB	Excellensmedel	Vinnova Excellensmedel	15000	2023-11-29	Barzey - affärsjuridik
Hydrogen Lift Sweden AB	Innovationscheck	Vinnova Innovationscheck via SISP	100000	2023-11-22	IP strategi - innovationscheck
ProTime Sport AB	Ägarkapital	Nyemission	6660593	2023-11-16
ProTime Sport AB	Excellensmedel	Vinnova Excellensmedel	44115	2023-11-12	Beviljat max 35 000kr för rådgivning kring immaterialrätt Lindahls, utökat till 44115kr KLAR 2023-11-13
Objectide AB	Excellensmedel	Vinnova Excellensmedel	29850	2023-10-30	Digital strategi Wilson creative
Best 2 Clean Sweden AB	De minimis	Sprint X TVV De minimis	30000	2023-10-30	Origami makers team rekrytering
PepperVault AB	Bidrag	Vinnova Utlysning	300000	2023-10-25	Innovativa Impact Startup del 1
T & S Engineering Intelligence AB	Excellensmedel	Vinnova Excellensmedel	44000	2023-10-23	Juridiskt stöd beviljat 40 000kr upparbetat 230704 17700kr 20231024 26300kr klart!
Dealpotential AB	Excellensmedel	Vinnova Excellensmedel	5620	2023-10-19	Lokal USA - kontorsplats
Konstraktor i Gävle AB	De minimis	ALMI	50000	2023-10-15
Affärskompetens Sverige AB	Excellensmedel	Vinnova Excellensmedel	7490	2023-10-09	We know IT utveckling
CADcog AB	Bidrag	Vinnova Utlysning	931000	2023-10-03	Vinnova "Framväxande tekniklösningar steg 1 2023".
Affärskompetens Sverige AB	Excellensmedel	Vinnova Excellensmedel	28175	2023-09-30	Barzey advokatbyrå beviljat 40 000kr delfakturerat 27 750kr 2023-10-01 425kr fakturerat 2023-11-30
PepperVault AB	Excellensmedel	Vinnova Excellensmedel	25000	2023-09-29	Beviljat 25 000kr för anv villkor svenska slutfakturerad - Barzey
Daniel Kron	De minimis	Jag har en idé TVV De minimis	50000	2023-09-29	We know IT  utveckling
PepperVault AB	Excellensmedel	Vinnova Excellensmedel	76620	2023-09-29	Slutfakturerat 76620kr tot beviljat 77 000kr Barzey
Swedloop	De minimis	Jag har en idé TVV De minimis	15000	2023-09-28	Lindahls affärsjuridiskt stöd avtal och förhandling
CADcog AB	Excellensmedel	Vinnova Excellensmedel	50000	2023-09-26	Lindahl Juridiska tjänster - klart 20230927
Dealpotential AB	Excellensmedel	Vinnova Excellensmedel	27100	2023-09-14	Lingmerths resebyrå - resa USA kapital
PepperVault AB	De minimis	Annan (ange vilken)	20000	2023-09-10	Skapa priset
T & S Engineering Intelligence AB	Excellensmedel	Vinnova Excellensmedel	100000	2023-09-07	Beviljat 100 000kr fas a klar 230726 20 000kr fas b och fas c klar 20230908 80 000kr
Head on nails AB	Lån	ALMI	250000	2023-09-03	Innovationslån Almi
Invite To Do AB	Excellensmedel	Vinnova Excellensmedel	64250	2023-08-30	Bonde barzey rådgivning kring dataskydd, anv villkor och licensvillkor
La10cy AB	Bidrag	Annan (ange vilken)	300000	2023-08-15	Innovationscheck del 2
ProTime Sport AB	Excellensmedel	Vinnova Excellensmedel	100000	2023-08-08	IP strategi fas a-c KLAR 2023-08-09
Invite To Do AB	Excellensmedel	Vinnova Excellensmedel	20000	2023-07-06	IP strategi fas a-c beviljat 100 000kr fas a klar 20230822 20 000kr
Head on nails AB	Excellensmedel	Vinnova Excellensmedel	105200	2023-07-02	IP Strategi fas A - beviljad 100 000kr fas a-c plus PRV 5200kr
Head on nails AB	De minimis	Sprint X TVV De minimis	99996	2023-06-29	Avslut Sprint X projektet 20220707-20230630 12 mån a 8333kr
La10cy AB	Lån	Nyemission	300000	2023-06-13	Norrlandsfonden konvertibel
Hydrogen Lift Sweden AB	Bidrag	ALMI	35000	2023-06-07
Solask Energi AB	De minimis	ALMI	50000	2023-06-07	Verifieringsmedel Almi
La10cy AB	Lån	Riskkapital	300000	2023-06-06	Tregion Konvertibel
Head on nails AB	De minimis	Annan (ange vilken)	100000	2023-05-31	Innovationsstöd Region Gävleborg
Invite To Do AB	Bidrag	ALMI	40000	2023-05-30
Dealpotential AB	Excellensmedel	Vinnova Excellensmedel	15900	2023-04-18	Styrelseutbildning
Head on nails AB	De minimis	Sprint X TVV De minimis	21368	2023-04-17	Åre kapitalmarknadsdagar
Tini Garments AB	De minimis	Sprint X TVV De minimis	21587	2023-04-17	Åre kapitalmarknadsdagar
JE Marketplace AB	De minimis	Sprint X TVV De minimis	20498	2023-04-17	Åre kapitalmarknadsdagar
PepperVault AB	De minimis	Sprint X TVV De minimis	12095	2023-04-17	Åre kapitalmarknadsdagar
Solask Energi AB	Innovationscheck	Vinnova Innovationscheck via SISP	100000	2023-04-10	IP Strategi beviljat 20230411 genomförs april-maj-juni 2023
ProTime Sport AB	Ägarkapital	Nyemission	1600000	2023-04-04	nyemission
Best 2 Clean Sweden AB	Excellensmedel	Vinnova Excellensmedel	100000	2023-03-29	IP Strategi Fas A,B och C
PepperVault AB	De minimis	Jag har en idé TVV De minimis	26200	2023-03-15	Keeper - ekonomisk rådgivning ombildning till AB med apportegendom Vinst Jag har en idé
T & S Engineering Intelligence AB	De minimis	Sprint X TVV De minimis	10000	2023-03-10	Allies hållbarhetsworkinar
Solask Energi AB	De minimis	Sprint X TVV De minimis	10000	2023-03-10	Allies Hållbarhetsworkinar
Best 2 Clean Sweden AB	De minimis	Sprint X TVV De minimis	10000	2023-03-10	Allies hållbarhetsworkinar
Head on nails AB	De minimis	Sprint X TVV De minimis	10000	2023-03-10	Allies hållbarhetsworkinar
CADcog AB	Excellensmedel	Vinnova Excellensmedel	105200	2023-02-28	IP Strategi fas a-c samt PRV avgift 5200kr
Intrest (Linkapp AB)	Excellensmedel	Vinnova Excellensmedel	100000	2023-02-28	IP strategi fas a-c Rouse AB 100 000kr
Head on nails AB	De minimis	ALMI	50000	2023-02-28	Verifieringsmedel från Almi
Head on nails AB	De minimis	Sprint X TVV De minimis	8284	2023-01-31	Resa Norge utvärdering norska marknaden
La10cy AB	Ägarkapital	Nyemission	112000	2023-01-31
T & S Engineering Intelligence AB	Bidrag	Annan (ange vilken)	45000	2023-01-24	Ahlgrens donationsfond
T & S Engineering Intelligence AB	De minimis	Sprint X TVV De minimis	12500	2023-01-24	Översättning Storisell
La10cy AB	Excellensmedel	Vinnova Excellensmedel	40000	2023-01-24	Check Lindahl (jurist)
Zutobi AB	De minimis	Sprint X TVV De minimis	96000	2023-01-16	Internationalisering - resecheck beviljad. Godkänd av TVV för De minimi från o med 20230117 Upparbetat 2023-02 = 51298kr kvarstår mässkostnad
Intrest (Linkapp AB)	Excellensmedel	Vinnova Excellensmedel	18000	2023-01-12	Konkurrensanalys/Marknadsanalys Nowa genomförd och fakturerad
Solask Energi AB	De minimis	ALMI	6000	2022-12-31	Utveckla ny affär - de minimis Almi
Dealpotential AB	Lån	ALMI	2000000	2022-12-14
Dealpotential AB	Ägarkapital	Nyemission	2000000	2022-12-07
Hydrogen Lift Sweden AB	De minimis	Annan (ange vilken)	475000	2022-12-06	Energimyndigheten - Deminimis?
DevUp Solution AB	Excellensmedel	Vinnova Excellensmedel	72000	2022-11-30	Mondial Tjänstedesign 2 moduler
Head on nails AB	De minimis	Sprint X TVV De minimis	8785	2022-11-30	Resa Torino - internationalisering
T & S Engineering Intelligence AB	De minimis	ALMI	50000	2022-11-30
T & S Engineering Intelligence AB	Excellensmedel	Vinnova Excellensmedel	42000	2022-11-23	Marknadsundersökning nordiska marknaden finland, danmark o norge. Första faktura dec 14000kr (1 land) EB affärsutv sista fakturan 230206 28000kr
Objectide AB	De minimis	Sprint X TVV De minimis	9929	2022-11-16	Resa Slush Helsingfors
Objectide AB	De minimis	Sprint X TVV De minimis	3689	2022-11-16	Deltagaravgift Slush Helsingfors
JE Marketplace AB	Lån	Riskkapital	300000	2022-11-14	Tregion
JE Marketplace AB	Lån	Riskkapital	500000	2022-11-02	Linnea Capital, omvandlas till aktier när nya investeringar uppgår till 750 000
CADcog AB	Excellensmedel	Vinnova Excellensmedel	66810	2022-10-30	Excellence check beviljad 60 000kr för juridiska tjänster, Bonde Barzey - Klart
JE Marketplace AB	Excellensmedel	Vinnova Excellensmedel	45000	2022-10-26	Lindahls rådgivning samarbetspartner/avtal
Head on nails AB	Excellensmedel	Vinnova Excellensmedel	37315	2022-10-18	Bonde barzey juridiskt stöd
La10cy AB	Excellensmedel	Vinnova Excellensmedel	76100	2022-10-18	Incitamentsprogram / GDPR optionsprogram - Lindahls. Beviljat 80 000kr fakturor på 76 100kr mottagits.
Intrest (Linkapp AB)	Bidrag	ALMI	50000	2022-10-12
Best 2 Clean Sweden AB	De minimis	Sprint X TVV De minimis	25000	2022-10-06	Beviljat 25 000kr i Sprint X för resor o logi Helsingfors i december Internationalisering.
Best 2 Clean Sweden AB	De minimis	ALMI	25000	2022-10-03
Best 2 Clean Sweden AB	De minimis	ALMI	20000	2022-10-03
Limearc process AB	Lån	Annan (ange vilken)	2000000	2022-09-30	Norrlandsfonden samt Almi Företagspartner med 1 MSEK var
Dealpotential AB	Excellensmedel	Vinnova Excellensmedel	100000	2022-09-29	IP strategi FAS A 20 000kr Beviljade medel 100 000kr för 3 faser. Rouse AB
Objectide AB	De minimis	Sprint X TVV De minimis	53180	2022-09-29	Affärsjuridiskt stöd Barzey
DevUp Solution AB	Innovationscheck	Vinnova Innovationscheck via SISP	80000	2022-09-28
T & S Engineering Intelligence AB	Excellensmedel	Vinnova Excellensmedel	25500	2022-09-19	Beviljat 20 000kr som max för arbete med digital strategi från Nowa. Första faktura 10 500kr 2022-09-20 andra faktura 15 000kr
Limearc process AB	Ägarkapital	Nyemission	10500000	2022-08-31	Almi Invest samt privata investerare
Tini Garments AB	Excellensmedel	Vinnova Excellensmedel	15900	2022-08-31	Styrelseutbildning (prishöjd)
Samsara Selected AB	Bidrag	Annan (ange vilken)	200000	2022-08-29	Miljöstöd Region Gävleborg 50% av max 400 000kr
Dealpotential AB	Excellensmedel	Vinnova Excellensmedel	26500	2022-08-23	Juridiskt stöd Avtal - Lindahls. Beviljade medel 40 000kr upparbetat 26500kr
JE Marketplace AB	Excellensmedel	Vinnova Excellensmedel	8400	2022-07-06	Keeper Ekonomisk rådgivning
JE Marketplace AB	Excellensmedel	Vinnova Excellensmedel	15000	2022-07-04	Nowa individuell anpassad digital strategi
Dealpotential AB	De minimis	Sprint X TVV De minimis	9960	2022-06-21	Pureact hållbarhetsworkshop
DevUp Solution AB	Excellensmedel	Vinnova Excellensmedel	30000	2022-06-20	Scenariovärdering med Fintegrity
JE Marketplace AB	Excellensmedel	Vinnova Excellensmedel	18921	2022-06-19	Biljett till Slush Helsingfors
Dealpotential AB	Excellensmedel	Vinnova Excellensmedel	24845	2022-06-03	Resa Canada Collision - kapital event där investerare och bolag möts
JE Marketplace AB	Excellensmedel	Vinnova Excellensmedel	40000	2022-05-29	Incitamentsprogram - Lindahls
DevUp Solution AB	De minimis	Sprint X TVV De minimis	60000	2022-05-22	Resa Integrate mässa London juni 2022 = 30k + Resa Slush nov 2022 = 30k
La10cy AB	Excellensmedel	Vinnova Excellensmedel	80000	2022-05-19	IP strategi fas B och C - byte av leverantör pga stort behov av rådgivning kring patent. Rouse AB
JE Marketplace AB	Excellensmedel	Vinnova Excellensmedel	27800	2022-05-12	Styrelseutbildning Styrelseakademin
Tini Garments AB	Excellensmedel	Vinnova Excellensmedel	13900	2022-05-12	Styrelseutbildning styrelseakademin
Dealpotential AB	Excellensmedel	Vinnova Excellensmedel	13900	2022-05-12	Styrelseutbildning Styrelseakademin
Nitiu AB	De minimis	Sprint X TVV De minimis	15000	2022-04-29	Nyhetsgranskning - Rouse
Dealpotential AB	De minimis	Sprint X TVV De minimis	73720	2022-04-18	Deltagaravgift Collision Kanada (mässa)
Dealpotential AB	De minimis	Sprint X TVV De minimis	22288	2022-04-18	Resa Kanada - beviljade resa plus deltagar avgift. Resa Sprint X 22 288kr
Fatha AB	Bidrag	ALMI	45000	2022-04-14
DevUp Solution AB	Excellensmedel	Vinnova Excellensmedel	13900	2022-04-06	Styrelseutbildning via Styrelseakademien
Tini Garments AB	Excellensmedel	Vinnova Excellensmedel	4100	2022-04-05	Juridiskt stöd i kapitalfrågor
Tini Garments AB	Ägarkapital	Nyemission	4200000	2022-03-31	Tregion samt följdinvesteringar
Tini Garments AB	De minimis	Sprint X TVV De minimis	21151	2022-03-28	Åre kapitalmarknadsdagar, resa, boende samt deltagaravgift. (Kapital)
Dealpotential AB	De minimis	Sprint X TVV De minimis	19857	2022-03-28	Åre kapitalmarknadsdagar - resa, boende samt deltagaravgift. (Kapital)
DevUp Solution AB	De minimis	Movexum De minimis	19308	2022-03-28	Åre Business Forum
Digito Group AB	Bidrag	ALMI	50000	2022-02-28	Almi verifieringsmedel
Tini Garments AB	Excellensmedel	Vinnova Excellensmedel	60000	2022-02-20	IP strategi fas B och C - Eris Law
Digito Group AB	De minimis	Sprint X TVV De minimis	10000	2022-02-14	Sustainability Scale Up - Allies Workinar
La10cy AB	Excellensmedel	Vinnova Excellensmedel	20000	2022-02-08	IP Strategi fas A - Eris Law genomfört
Digito Group AB	Excellensmedel	Vinnova Excellensmedel	43965	2022-02-08	Juridiska tjänster, framtagande av avtal inkl GDPR. BondeBarzey.
Dealpotential AB	Excellensmedel	Vinnova Excellensmedel	8000	2022-02-08	Juridiskt stöd incitamentsprogram beviljat stöd 40 000kr
Samsara Selected AB	Lån	ALMI	200000	2022-01-02	Företagslån
Samsara Selected AB	Bidrag	ALMI	43000	2022-01-02	Verifieringscheck
Maria Engblom	Bidrag	ALMI	50000	2021-12-31
JE Marketplace AB	Lån	ALMI	300000	2021-12-31	Almi invest förinvestering
Tini Garments AB	Bidrag	ALMI	150000	2021-12-30	Almi innovationsstöd
Nitiu AB	De minimis	Movexum De minimis	40000	2021-12-08	Movexum de minimis Lindahls juridiskt stöd. Bolaget screenades som ej excellent bolag (ej Vinnovas målgruppsföretag) i juni 2021 och aktiviteterna faller då på de minimis.
Nitiu AB	De minimis	Movexum De minimis	5500	2021-11-23	Movexum de minimis Lindahls juridiskt stöd. Bolaget screenades som ej excellent bolag (ej Vinnovas målgruppsföretag) i juni 2021 och aktiviteterna faller då på de minimis.
Nitiu AB	De minimis	Movexum De minimis	47000	2021-11-23	Movexum de minimis Lindahls juridiskt stöd. Bolaget screenades som ej excellent bolag (ej Vinnovas målgruppsföretag) i juni 2021 och aktiviteterna faller då på de minimis.
DevUp Solution AB	De minimis	Movexum De minimis	10000	2021-11-15	Sustainability Scale Up
DevUp Solution AB	Excellensmedel	Vinnova Excellensmedel	32250	2021-11-09	Digitalt strategiarbete och digital marknadsföring med Nowa
JE Marketplace AB	Excellensmedel	Vinnova Excellensmedel	19500	2021-10-31	Affärsjuridik Stöd användarvillkor Lindahls
JE Marketplace AB	Bidrag	Annan (ange vilken)	1500000	2021-10-30	PTS pris
Limearc process AB	Excellensmedel	Vinnova Excellensmedel	70000	2021-10-26	IP strategi fas B o C - Rouse AB (byte av leverantör pga deep techbolag)
Lovisa of Sweden AB	Bidrag	Annan (ange vilken)	300000	2021-10-20	Skapa pris
Tini Garments AB	Excellensmedel	Vinnova Excellensmedel	30000	2021-10-03	Scenariovärdering  - Fintegrity
DevUp Solution AB	Excellensmedel	Vinnova Excellensmedel	62000	2021-09-15	Prisstrategi med Implity
JE Marketplace AB	Excellensmedel	Vinnova Excellensmedel	30000	2021-09-09	Scenario-värdering
Nitiu AB	Ägarkapital	Nyemission	2000000	2021-08-02
Limearc process AB	Excellensmedel	Vinnova Excellensmedel	15000	2021-07-13	Nyhetsgranskning - Rouse AB
JE Marketplace AB	De minimis	Sprint X TVV De minimis	5200	2021-06-30	Juridiskt stöd - Bonde barzey
Tini Garments AB	Excellensmedel	Vinnova Excellensmedel	27100	2021-06-15	Juridiskt stöd - Bonde Barzey
JE Marketplace AB	De minimis	Sprint X TVV De minimis	16980	2021-06-03	Juridiskt stöd Bonde barzey
JE Marketplace AB	De minimis	Sprint X TVV De minimis	3100	2021-05-26	Business review m Rebecka Karlsson inkl bok
Nitiu AB	De minimis	Sprint X TVV De minimis	3100	2021-05-26	Business review Rebecka Karlsson - Hållbarhet
AdMetals - Advanced metals AB	De minimis	Sprint X TVV De minimis	3196	2021-05-06	Business review Rebecka Karlsson inkl bok
Nitiu AB	De minimis	Vinnova Excellensmedel	20000	2021-04-25	Excellenscheck De minimis IP strategi Eris Law Bolaget uppfyller ej krav för statsstöd GBER artikel 22 men får ta emot de minimistöd inom excellensprogrammet
Nitiu AB	De minimis	Vinnova Excellensmedel	42800	2021-04-15	Excellenscheck De minimis Incitamentsprogram Bolaget uppfyller ej kraven för statsstöd Artikel 22 GBER men uppfyller kraven för de minimi inom ramen för Excellensprogrammet
DevUp Solution AB	Excellensmedel	Vinnova Excellensmedel	46920	2021-04-13	Licensavtal till kunder med Bonde Barzey
DevUp Solution AB	Bidrag	ALMI	50000	2021-03-30	Almi Verifieringsmedel för att göra verifieringsfilm
Lovisa of Sweden AB	Excellensmedel	Vinnova Excellensmedel	51890	2021-03-30	Juridiskt stöd Bonde Barzey
Lovisa of Sweden AB	Excellensmedel	Vinnova Excellensmedel	20000	2021-03-29	IP strategi fas A - Eris Law
DevUp Solution AB	Excellensmedel	Vinnova Excellensmedel	20000	2021-03-25	IP strategi steg 1 med Eris Law
Limearc process AB	Excellensmedel	Vinnova Excellensmedel	20000	2021-03-22	IP strategi fas A - Eris Law
Tini Garments AB	Excellensmedel	Vinnova Excellensmedel	20000	2021-03-22	IP Strategi FAS A
Tini Garments AB	Excellensmedel	Vinnova Excellensmedel	16050	2021-03-15	Juridiskt stöd - rådgivning - Bonde barzey
JE Marketplace AB	Excellensmedel	Vinnova Excellensmedel	30000	2021-03-11	GDPR affärsjuridik Lindahls
JE Marketplace AB	Excellensmedel	Vinnova Excellensmedel	20000	2021-03-11	Momsfrågor Lindahls affärsjuridisk tjänst
JE Marketplace AB	Excellensmedel	Vinnova Excellensmedel	60000	2021-01-09	Digital strategi Nowa
JE Marketplace AB	Bidrag	ALMI	150000	2020-12-30	Region Gävleborg 75000+25000 Almi 50 000
Limearc process AB	De minimis	Annan (ange vilken)	100000	2020-12-30	Region Gävleborg - Intressentanalys
Nitiu AB	De minimis	Sprint X TVV De minimis	15000	2020-09-30	Allies workinar - Hållbarhet
Nitiu AB	Ägarkapital	Nyemission	3622000	2020-05-31
Lovisa of Sweden AB	Bidrag	ALMI	100000	2020-03-27	Verifieringsmedel
Lovisa of Sweden AB	Bidrag	ALMI	200000	2018-01-02
